原始列名,中文意思,语言,添加时间
aantal,销量,荷兰语,2026-04-17
abonos de envío,运费销售收入,西班牙语,2026-04-17
abonos de envoltorio para regalo,包装收入,西班牙语,2026-04-17
Abrechnungsnummer,结算单号,德语,2026-04-17
account type,核算类型,英语,2026-04-17
Accrediti per confezioni regalo,包装收入,意大利语,2026-04-17
Accrediti per le spedizioni,运费销售收入,意大利语,2026-04-17
Altri costi relativi alle transazioni,其他交易费用,意大利语,2026-04-17
Altro,其他,意大利语,2026-04-17
Amazon 出品サービス,站点,日语,2026-04-17
Amazonポイントの費用,亚马逊积分费用,日语,2026-04-17
Andere,其他,德语,2026-04-17
Andere Transaktionsgebühren,其他交易费用,德语,2026-04-17
antal,销量,瑞典语,2026-04-17
autre,其他,法语,2026-04-17
autres,其他,法语,2026-04-17
autres frais de transaction,其他交易费用,法语,2026-04-17
Belasting voor marketplace-facilitator,平台代扣代缴税额,荷兰语,2026-04-17
Beschreibung,订单描述,德语,2026-04-17
beschrijving,订单描述,荷兰语,2026-04-17
beskrivning,订单描述,瑞典语,2026-04-17
beställnings-id,订单号,瑞典语,2026-04-17
bestelling per post,邮编,荷兰语,2026-04-17
bestelling stad,下单城市,荷兰语,2026-04-17
Bestellnummer,订单号,德语,2026-04-17
bestelnummer,订单号,荷兰语,2026-04-17
Bundesland,下单州,德语,2026-04-17
cantidad,销量,西班牙语,2026-04-17
CAP dell'ordine,邮编,意大利语,2026-04-17
Città di provenienza dell'ordine,下单城市,意大利语,2026-04-17
ciudad de procedencia del pedido,下单城市,西班牙语,2026-04-17
code postal de la commande,邮编,法语,2026-04-17
código postal de procedencia del pedido,邮编,西班牙语,2026-04-17
commande postale,邮编,法语,2026-04-17
Commissioni di vendita,佣金,意大利语,2026-04-17
comunidad autónoma de procedencia del pedido,下单州,西班牙语,2026-04-17
Costi del servizio Logistica di Amazon,运费,意大利语,2026-04-17
crédits d'emballage-cadeau,包装收入,法语,2026-04-17
crédits d'expédition,运费销售收入,法语,2026-04-17
crédits d'expédition,运费销售收入,法语,2026-04-17
crédits sur l'emballage cadeau,包装收入,法语,2026-04-17
data/godzina,结算日期,波兰语,2026-04-17
Data/Ora:,结算日期,意大利语,2026-04-17
date/heure,结算日期,法语,2026-04-17
date/time,结算日期,英语,2026-04-17
datum/tid,结算日期,瑞典语,2026-04-17
datum/tijd,结算日期,荷兰语,2026-04-17
Datum/Uhrzeit,结算日期,德语,2026-04-17
delstat för beställning,订单状态,瑞典语,2026-04-17
descripción,订单描述,西班牙语,2026-04-17
description,订单描述,英语,2026-04-17
Descrizione,订单描述,意大利语,2026-04-17
devoluciones promocionales,折扣金额,西班牙语,2026-04-17
Einbehaltene Steuer auf Marketplace,平台代扣代缴税额,德语,2026-04-17
état de la commande,订单状态,法语,2026-04-17
expédition,配送方式,法语,2026-04-17
fba fees,运费,英语,2026-04-17
FBA fees,运费,英语,2026-04-17
FBA 手数料,运费,日语,2026-04-17
fba-avgifter,运费,瑞典语,2026-04-17
fba-vergoedingen,运费,荷兰语,2026-04-17
fecha y hora,结算日期,西班牙语,2026-04-17
Formulario de recaudación de impuestos,税收缴纳模式,西班牙语,2026-04-17
försäljning av produkter,商品销售收入,瑞典语,2026-04-17
försäljningsavgifter,佣金,瑞典语,2026-04-17
frais de vente,佣金,法语,2026-04-17
Frais Expédié par Amazon,运费,法语,2026-04-17
Frais pour le service Expédié par Amazon,运费,法语,2026-04-17
fraktkrediter,运费销售收入,瑞典语,2026-04-17
fulfillment,配送方式,英语,2026-04-17
Gebühren zu Versand durch Amazon,运费,德语,2026-04-17
geïnde omzetbelasting,已收取的销售税,荷兰语,2026-04-17
Gesamt,结算金额,德语,2026-04-17
gestión logística,配送方式,西班牙语,2026-04-17
Gestione,配送方式,意大利语,2026-04-17
gift wrap credits,包装收入,英语,2026-04-17
gift wrap credits tax,包装税,英语,2026-04-17
giftwrap credits,包装收入,英语,2026-04-17
giftwrap credits tax,包装税,英语,2026-04-17
Gutschrift für Geschenkverpackung,包装收入,德语,2026-04-17
Gutschrift für Versandkosten,运费销售收入,德语,2026-04-17
Identifiant du paiement,结算单号,法语,2026-04-17
identificador de pago,结算单号,西班牙语,2026-04-17
identyfikator rozliczenia,结算单号,波兰语,2026-04-17
identyfikator zamówienia,订单号,波兰语,2026-04-17
ilość,销量,波兰语,2026-04-17
imposta accrediti per le spedizioni,运费税,意大利语,2026-04-17
imposta sugli sconti promozionali,折扣税,意大利语,2026-04-17
imposta sui crediti confezione regalo,包装税,意大利语,2026-04-17
imposta sulle vendite dei prodotti,商品销售税,意大利语,2026-04-17
impuesto de ventas de productos,商品销售税,西班牙语,2026-04-17
impuesto retenido en el sitio web,平台代扣代缴税额,西班牙语,2026-04-17
impuestos de descuentos por promociones,折扣税,西班牙语,2026-04-17
impuestos por abonos de envío,运费税,西班牙语,2026-04-17
impuestos por abonos de envoltorio para regalo,包装税,西班牙语,2026-04-17
Inkasserad moms,已收取的销售税,瑞典语,2026-04-17
inne,其他,波兰语,2026-04-17
inne opłaty transakcyjne,其他交易费用,波兰语,2026-04-17
kampanjrabatter,折扣金额,瑞典语,2026-04-17
kredietpunten cadeauverpakking,包装收入,荷兰语,2026-04-17
krediter för presentinslagning,包装收入,瑞典语,2026-04-17
leverans,配送方式,瑞典语,2026-04-17
marketplace,站点,英语,2026-04-17
Marketplace,站点,英语,2026-04-17
Marketplace facilitator tax,平台代扣代缴税额,英语,2026-04-17
marketplace withheld tax,平台代扣代缴税额,英语,2026-04-17
marknadsplats,站点,瑞典语,2026-04-17
Menge,销量,德语,2026-04-17
miejscowość zamówienia,下单城市,波兰语,2026-04-17
Modèle de perception des taxes,税收缴纳模式,法语,2026-04-17
modello di riscossione delle imposte,税收缴纳模式,意大利语,2026-04-17
noty kredytowe za wysyłkę,运费销售收入,波兰语,2026-04-17
numéro de la commande,订单号,法语,2026-04-17
Numéro de la commande,订单号,法语,2026-04-17
número de pedido,订单号,西班牙语,2026-04-17
numéro de versement,结算单号,法语,2026-04-17
Numero ordine,订单号,意大利语,2026-04-17
Numero pagamento,结算单号,意大利语,2026-04-17
opis,订单描述,波兰语,2026-04-17
opłaty za fba,运费,波兰语,2026-04-17
opłaty za sprzedaż,佣金,波兰语,2026-04-17
order city,下单城市,英语,2026-04-17
order id,订单号,英语,2026-04-17
order ID,订单号,英语,2026-04-17
order postal,邮编,英语,2026-04-17
order state,下单州,英语,2026-04-17
Ort der Bestellung,下单城市,德语,2026-04-17
other,其他,英语,2026-04-17
other transaction fees,其他交易费用,英语,2026-04-17
otro,其他,西班牙语,2026-04-17
overige,其他,荷兰语,2026-04-17
overige transactiekosten,其他交易费用,荷兰语,2026-04-17
övriga transaktionsavgifter,其他交易费用,瑞典语,2026-04-17
Övrigt,其他,瑞典语,2026-04-17
pobrany podatek od sprzedaży,已收取的销售税,波兰语,2026-04-17
Podatek od transakcji Marketplace Facilitator,平台代扣代缴税额,波兰语,2026-04-17
postadress för beställning,邮编,瑞典语,2026-04-17
postage credits,运费销售收入,英语,2026-04-17
Postleitzahl,邮编,德语,2026-04-17
product sales,商品销售收入,英语,2026-04-17
product sales tax,商品销售税,英语,2026-04-17
Produktumsatzsteuer,商品销售税,德语,2026-04-17
promotiekortingen,折扣金额,荷兰语,2026-04-17
promotional rebates,折扣金额,英语,2026-04-17
promotional rebates tax,折扣税,英语,2026-04-17
Provincia di provenienza dell'ordine,下单州,意大利语,2026-04-17
przekaz pocztowy,邮编,波兰语,2026-04-17
Quantità,销量,意大利语,2026-04-17
quantité,销量,法语,2026-04-17
quantity,销量,英语,2026-04-17
Rabais promotionnels,折扣金额,法语,2026-04-17
Rabatte aus Werbeaktionen,折扣金额,德语,2026-04-17
rabaty promocyjne,折扣金额,波兰语,2026-04-17
realizacja,配送方式,波兰语,2026-04-17
fulfilment,配送方式,英语,2026-04-17
Région d'où provient la commande,下单州,法语,2026-04-17
reglerings-id,结算单号,瑞典语,2026-04-17
Regulatory Fee,监管费,英语,2026-04-17
Regulatory fee,监管费,英语,2026-04-17
rynek,站点,波兰语,2026-04-17
sales tax collected,已收取的销售税,英语,2026-04-17
schikkings-ID,结算单号,荷兰语,2026-04-17
Sconti promozionali,折扣金额,意大利语,2026-04-17
selling fees,佣金,英语,2026-04-17
settlement id,结算单号,英语,2026-04-17
settlement ID,结算单号,英语,2026-04-17
shipping credits,运费销售收入,英语,2026-04-17
shipping credits tax,运费税,英语,2026-04-17
site de vente,站点,法语,2026-04-17
Skatt för marknadsplatsförmedlare,平台代扣代缴税额,瑞典语,2026-04-17
sku,SKU,英语,2026-04-17
SKU,SKU,英语,2026-04-17
sprzedaż produktów,商品销售收入,波兰语,2026-04-17
środki na pokrycie pakowania na prezent,包装收入,波兰语,2026-04-17
stad för beställning,下单城市,瑞典语,2026-04-17
stan zamówienia,订单状态,波兰语,2026-04-17
status bestelling,订单状态,荷兰语,2026-04-17
Steuer auf Aktionsrabatte,折扣税,德语,2026-04-17
Steuer auf Geschenkverpackungsgutschriften,包装税,德语,2026-04-17
Steuer auf Versandgutschrift,运费税,德语,2026-04-17
Steuererhebungsmodell,税收缴纳模式,德语,2026-04-17
suma,结算金额,波兰语,2026-04-17
tarifas de Logística de Amazon,运费,西班牙语,2026-04-17
tarifas de otras transacciones,其他交易费用,西班牙语,2026-04-17
tarifas de venta,佣金,西班牙语,2026-04-17
tax collection model,税收缴纳模式,英语,2026-04-17
Tax on regulatory fee,监管费税,英语,2026-04-17
Tax On Regulatory Fee,监管费税,英语,2026-04-17
taxe de ventes prélevée,已收取的销售税,法语,2026-04-17
Taxe Marketplace Facilitator,平台代扣代缴税额,法语,2026-04-17
taxe sur les crédits d'expédition,运费税,法语,2026-04-17
Taxes retenues sur le site de vente,平台代扣代缴税额,法语,2026-04-17
Taxes sur la vente des produits,商品销售税,法语,2026-04-17
Taxes sur les crédits cadeaux,包装税,法语,2026-04-17
Taxes sur les remises promotionnelles,折扣税,法语,2026-04-17
Tipo,结算类型,意大利语,2026-04-17
tipo,结算类型,西班牙语,2026-04-17
totaal,结算金额,荷兰语,2026-04-17
total,结算金额,英语,2026-04-17
Total des réductions,折扣金额,法语,2026-04-17
totale,结算金额,意大利语,2026-04-17
totalt,结算金额,瑞典语,2026-04-17
traitement,配送方式,法语,2026-04-17
trattenuta IVA del marketplace,平台代扣代缴税额,意大利语,2026-04-17
Typ,结算类型,德语,2026-04-17
typ,结算类型,瑞典语,2026-04-17
type,结算类型,英语,2026-04-17
Umsätze,商品销售收入,德语,2026-04-17
Vendite,商品销售收入,意大利语,2026-04-17
ventas de productos,商品销售收入,西班牙语,2026-04-17
ventes de produits,商品销售收入,法语,2026-04-17
Verkaufsgebühren,佣金,德语,2026-04-17
verkoop van producten,商品销售收入,荷兰语,2026-04-17
verkoopkosten,佣金,荷兰语,2026-04-17
Versand,配送方式,德语,2026-04-17
Verzendtegoeden,运费销售收入,荷兰语,2026-04-17
ville de la commande,下单城市,法语,2026-04-17
ville d'où provient la commande,下单城市,法语,2026-04-17
web de Amazon,站点,西班牙语,2026-04-17
ギフト包装クレジットの税金,包装税,日语,2026-04-17
ギフト包装手数料,包装收入,日语,2026-04-17
その他,其他,日语,2026-04-17
トランザクションに関するその他の手数料,其他交易费用,日语,2026-04-17
トランザクションの種類,结算类型,日语,2026-04-17
フルフィルメント,配送方式,日语,2026-04-17
プロモーション割引の税金,折扣税,日语,2026-04-17
プロモーション割引額,折扣金额,日语,2026-04-17
都道府県,下单州,日语,2026-04-17
合計,结算金额,日语,2026-04-17
決済番号,结算单号,日语,2026-04-17
配送料,运费销售收入,日语,2026-04-17
配送料の税金,运费税,日语,2026-04-17
日付/時間,结算日期,日语,2026-04-17
商品の売上税,商品销售税,日语,2026-04-17
商品売上,商品销售收入,日语,2026-04-17
市町村,下单城市,日语,2026-04-17
手数料,佣金,日语,2026-04-17
数量,销量,日语,2026-04-17
税金徴収型,税收缴纳模式,日语,2026-04-17
説明,订单描述,日语,2026-04-17
郵便番号,邮编,日语,2026-04-17
源泉徴収税を伴うマーケットプレイス,平台代扣代缴税额,日语,2026-04-17
注文番号,订单号,日语,2026-04-17
source_file,数据源,英语,2026-04-17
source_directory,文件位置,英语,2026-04-17
country_code,销售区域,英语,2026-04-17
crédits d'expédition,运费销售收入,法语,2026-04-17
crédits d'emballage-cadeau,包装收入,法语,2026-04-17