匹配辅助列,中文意思
A-to-z Guarantee Claim,索赔退款
Aanpassing/Mislukte vergoeding,补偿发放失败调整
Aanpassing/Terugbetaling voor voorraad bij FBA - Retourzending klant,FBA库存赔偿-客户退货
Adjustment/Buyer Recharge,客户货款追回-美区
Adjustment/Commission Adjustment,佣金调整
Adjustment/Disbursement Correction,付款纠正
Adjustment/FBA Inventory Reimbursement - Customer Return,FBA库存赔偿-客户退货
Adjustment/FBA Inventory Reimbursement - Customer Service Issue,FBA库存赔偿-客户服务费
Adjustment/FBA Inventory Reimbursement - Damaged:Warehouse,FBA库存赔偿-仓库损毁
Adjustment/FBA Inventory Reimbursement - Fee Correction,FBA库存赔偿-费用调整
Adjustment/FBA Inventory Reimbursement - General Adjustment,FBA库存赔偿-常规调整
Adjustment/FBA Inventory Reimbursement - Lost:Inbound,FBA库存赔偿-入库丢失
Adjustment/FBA Inventory Reimbursement - Lost:Outbound,FBA库存赔偿-出运丢失
Adjustment/FBA Inventory Reimbursement - Lost:Warehouse,FBA库存赔偿-仓库遗失
Adjustment/FixedClosingFee Adjustment,固定费用调整
Adjustment/GiftwrapCommission Adjustment,礼品包装佣金调整
Adjustment/Non-subscription Fee Adjustment,非订阅类费用的调整
Adjustment/Other,其他调整
Adjustment/ShippingHB Adjustment,运费退款调整
Adjustment/VariableClosingFee Adjustment,可变成交费调整
Ajuste/Reembolso de inventario - ajuste general,FBA库存赔偿-常规调整
Ajuste/Reembolso de inventario - extraviado en el almacén,FBA库存赔偿-仓库遗失
Ajuste/Reembolso de inventario de Logística de Amazon (Devolución del cliente),FBA库存赔偿-客户退货
Ajustement/Autre,其他调整
Ajustement/Remboursement Stock Expédié par Amazon - Ajustement général,FBA库存赔偿-常规调整
Ajustement/Remboursement Stock Expédié par Amazon - Correction de frais,FBA库存赔偿-仓库损毁
Ajustement/Remboursement Stock Expédié par Amazon - Endommagé:entrepôt,FBA库存赔偿-仓库损毁
Ajustement/Remboursement Stock Expédié par Amazon - Perdu:entrepôt,FBA库存赔偿-仓库遗失
Ajustement/Remboursement Stock Expédié par Amazon - Retour Client,FBA库存赔偿-客户退货
Amazon Fees - Reversal/Coupon Performance Based Fee,优惠券点击费退回
Amazon Fees/Coupon Participation Fee,优惠活动报名费
Amazon Fees/Coupon Performance Based Fee,优惠券点击费
Amazon Fees/Deal Participation Fee,秒杀活动报名费
Amazon Fees/Deal Performance Based Fee,秒杀活动服务费
Amazon Fees/Deal participation fee,秒杀活动报名费
Amazon Fees/Deal performance-based fee,秒杀活动服务费
Amazon Fees/Frais basés sur les performances des coupons,优惠券点击费
Amazon Fees/Frais basés sur les performances des offres promotionnelles,促销活动报名费
Amazon Fees/Frais de participation au coupon,优惠活动报名费
Amazon Fees/Frais de participation à une offre promotionnelle,促销活动服务费
Amazon Fees/Frais d’inscription à Amazon Vine,好评活动注册费
Amazon Fees/Vine Enrollment Fee,好评活动注册费
Amazon Fees/Vine Enrolment Fee,好评活动注册费
Amazon Fees/Voucher participation fee,优惠活动报名费
Amazon Fees/Voucher performance-based fee,优惠券点击费
Amazon fees/Coupon participation fee,优惠活动报名费
Amazon fees/Coupon performance-based fee,优惠券点击费
Amazon fees/Deal participation fee,秒杀活动报名费
Amazon fees/Deal performance-based fee,秒杀活动服务费
Amazon手数料/クーポンのパフォーマンスベースに基づく手数料,优惠券点击费
Amazon手数料/クーポンを提供する際の手数料,优惠活动报名费
Amazon手数料/タイムセールのパフォーマンスに基づく手数料,秒杀活动服务费
Amazon手数料/タイムセールを提供する際の手数料,秒杀活动报名费
Anpassung/Käufer Wiedereinzug,客户货款追回
Anpassung/Versand durch Amazon Erstattung für Lagerbestand -  Allgemeine Anpassung,FBA库存赔偿-常规调整
Anpassung/Versand durch Amazon Erstattung für Lagerbestand -  Gebührenkorrektur,FBA库存赔偿-费用调整
Anpassung/Versand durch Amazon Erstattung für Lagerbestand - Im Lager beschädigt,FBA库存赔偿-仓库损毁
Anpassung/Versand durch Amazon Erstattung für Lagerbestand - Im Lager verloren,FBA库存赔偿-仓库遗失
Anpassung/Versand durch Amazon Erstattung für Lagerbestand - Kundenrücksendung,FBA库存赔偿-客户退货
Anpassung/Versand durch Amazon Erstattung für Lagerbestand - Verloren bei Auslieferung,FBA库存赔偿-配送中途丢失
Bestelling,商品销售收入
Bestellung,商品销售收入
Bestellung_Wiedereinzug,订单追加费-商品税
Cargo retroactivo,订单追加费-商品税
Chargeback Refund,商品销售收入-客户拒付
Commande,商品销售收入
Commissione di servizio/Costo della pubblicità,广告费
Commissioni per le transazioni di Logistica di Amazon,FBA配送交易服务费
Costo di stoccaggio Logistica di Amazon/Capacity Reservation Fee,FBA仓储超量费
Costo di stoccaggio Logistica di Amazon/Tariffa di restituzione Logistica di Amazon,FBA客户退货处理费
Costo di stoccaggio Logistica di Amazon/Tariffa di stoccaggio a lungo termine Logistica di Amazon,FBA长期仓储费
Costo di stoccaggio Logistica di Amazon/Tariffa di stoccaggio di Logistica di Amazon,FBA仓储费
Costo di stoccaggio Logistica di Amazon/Tariffa per mettere l'inventario a disposizione di Amazon,FBA弃置费
Debt,应付亚马逊其他款项
Dług,应付亚马逊其他款项
Erstattung,商品销售收入-退货
Erstattung durch Rückbuchung,商品销售收入-客户拒付
Erstattung_Wiedereinzug,退款追加费-商品税
FBA Customer Return Fee/FBA Customer Return Per Unit Fee (Apparel & Shoes),FBA客户退货处理费
FBA Inventory Fee/Capacity Reservation Fee,FBA仓储超量费
FBA Inventory Fee/FBA Amazon-Partnered Carrier Shipment Fee,FBA仓储运输费
FBA Inventory Fee/FBA Disposal Fee,FBA弃置费
FBA Inventory Fee/FBA Long-Term Storage Fee,FBA长期仓储费
FBA Inventory Fee/FBA Removal Order: Disposal Fee,FBA弃置费
FBA Inventory Fee/FBA Removal Order: Return Fee,FBA退回运费
FBA Inventory Fee/FBA Return Fee,FBA退回运费
FBA Inventory Fee/FBA storage fee,FBA仓储费
FBA Inventory Fee/Fulfilment by Amazon removal order: disposal fee,FBA弃置费
FBA Inventory Fee/Inventory Storage Overage Fee,FBA仓储超量费
FBA Inventory Fee/nan,FBA入库费用
FBA Transaction fees/FBA Customer Returns Fee,FBA客户退货处理费
FBA inventory fee/FBA storage fee,FBA仓储费
FBA 在庫関連の手数料 - 取り消し/FBA在庫保管手数料:,FBA仓储费-取消
FBA 在庫関連の手数料 - 訂正/FBA在庫保管手数料:,FBA仓储费-调整
FBA 在庫関連の手数料/FBA在庫の廃棄手数料,FBA弃置费
FBA 在庫関連の手数料/FBA在庫の返送手数料,FBA弃置费
FBA 在庫関連の手数料/FBA在庫保管手数料:,FBA仓储费
FBA 在庫関連の手数料/FBA長期在庫保管手数料,FBA长期仓储费
Fee Adjustment/Fee Adjustment - Weight and Dimension Change,费用调整-重量体积调整
Fee Adjustment/Fee Adjustment – Weight and Dimension Change,费用调整-重量体积调整
Frais de service/Coût de la publicité,广告费
Frais de service/EPR Pay-on-behalf,其他服务费-ERP费用
Frais de service/Prix de la publicité,广告费
Frais de service/coupon,优惠活动服务费
Frais de stock Expédié par Amazon/Capacity Reservation Fee,FBA仓储超量费
Frais de stock Expédié par Amazon/Frais de Stockage de longue durée Expédié par Amazon,FBA长期仓储费
Frais de stock Expédié par Amazon/Frais de disposition Expédié par Amazon,FBA弃置费
Frais de stock Expédié par Amazon/Frais de stockage FBA,FBA仓储费
Frais de transaction Expédié par Amazon,FBA配送费
Fulfilment by Amazon (FBA) transaction fees,FBA配送交易服务费
Gebühren von Amazon/Coupon-Teilnahmegebühr,优惠活动报名费
Gebühren von Amazon/Leistungsbasierte Angebotsgebühr,秒杀活动服务费
Gebühren von Amazon/Leistungsbasierte Coupon-Gebühr,优惠活动服务费
Gebühren von Amazon/Teilnahmegebühr für das Angebot,秒杀活动报名费
Gebühren von Amazon/Vine-Registrierungsgebühr,好评活动注册费
Justering/FBA återdebitering av lager - Kundretur,FBA库存赔偿-费用调整
Korekta/Zwrot kosztów zapasów FBA — zwrot od klienta,FBA库存赔偿-客户退货
Liquidationen,清仓-收入
Liquidations,清仓-收入
Liquidations Adjustments,清仓-收入调整
Liquidationsanpassungen,清仓-收入调整
Modifica/Ricarico acquirente,向买家收取的费用调整
Modifica/Rimborso inventario Logistica di Amazon. Aggiustamento generale,FBA库存赔偿-常规调整
Modifica/Rimborso inventario Logistica di Amazon. Danneggiato in magazzino,FBA库存赔偿-仓库损毁
Modifica/Rimborso inventario Logistica di Amazon. Reso cliente,FBA库存赔偿-客户退货
Modifica/Rimborso inventario Logistica di Amazon. Smarrito in magazzino,FBA库存赔偿-仓库遗失
Opłata za usługę/Koszt reklamy,广告费
Order,商品销售收入
Order_Retrocharge,订单追加费-商品税
Order_Retrocharge/retrocharge for,订单追加费-商品税
Ordine,商品销售收入
Overboeking,提现金额
Pedido,商品销售收入
Przelew,提现金额
Reembolso,商品销售收入-退货
Refund,商品销售收入-退货
Refund_Retrocharge,订单追加费-商品税
Refund_Retrocharge/retrocharge reversal for,退款追加费-商品税
Remboursement,商品销售收入-退货
Rimborso,商品销售收入-退货
Service Fee - Reversal/Inbound Defect Fee - Shipments delivered to the wrong location,亚马逊罚款-送错仓库
Service Fee/Cost of Advertising,广告费
Service Fee/Cost of advertising,广告费
Service Fee/Coupon Redemption Fee,优惠券使用费
Service Fee/FBA Inbound Placement Service Fee,FBA入库配置费
Service Fee/Inbound Defect Fee - Amazon barcode missing,入库手续费-缺少面单
Service Fee/Inbound Defect Fee - Shipments delivered to the wrong location,亚马逊罚款-送错仓库
Service Fee/Refund for Advertiser,广告费退款
Service Fee/Subscription,店铺月租
Service Fee/Unplanned Service Charge - Deleted/Abandoned Shipments,亚马逊罚款-删除货件
Service Fee/Vine Enrollment Fee,好评活动注册费
Serviceavgift/Kostnad för reklam,广告费
Servicegebühr/Coupon-Einlösungsgebühr,优惠活动服务费
Servicegebühr/Werbekosten,广告费
Servicekosten/Kosten van reclame,广告费
Shipping Services/Adjustment,运费调整
Shipping Services/ReturnPostageBilling,卖家承担退回运费
Tarifa de prestación de servicio/Gastos de publicidad,广告费
Tarifas de Amazon/Tarifa basada en el rendimiento de la oferta,好评活动报名费
Tarifas de Amazon/Tarifa basada en el rendimiento del cupón,优惠券点击费
Tarifas de Amazon/Tarifa de participación en el cupón,优惠活动报名费
Tarifas de Amazon/Tarifa de participación en la oferta,好评活动服务费
Tarifas de Amazon/Tarifa de registro en Vine,好评活动注册费
Tarifas de inventario de Logística de Amazon/Capacity Reservation Fee,FBA仓储超量费
Tarifas de inventario de Logística de Amazon/Tarifa por almacenamiento de Logística de Amazon,FBA仓储费
Tarifas de inventario de Logística de Amazon/Tarifa por almacenamiento prolongado,FBA长期仓储费
Tarifas de inventario de Logística de Amazon/Tarifa por devolución de inventario,FBA客户退货处理费
Tarifas de inventario de Logística de Amazon/Tarifa por eliminación de inventario,FBA弃置费
Tarifas de transacción de Logística de Amazon,FBA配送费
Tariffe e commissioni Amazon/Commissione basata sulla performance del coupon,优惠券点击费
Tariffe e commissioni Amazon/Commissione basata sulla performance dell'offerta,促销活动报名费
Tariffe e commissioni Amazon/Commissione di partecipazione ai coupon,优惠活动报名费
Tariffe e commissioni Amazon/Commissione di partecipazione all'offerta,促销活动服务费
Tariffe e commissioni Amazon/Tariffa di iscrizione a Vine,好评活动注册费
Terugbetaling,商品销售收入-退货
"Transaktionsgebühren für Versand durch Amazon/""Versand durch Amazon""-Gebühr für Kundenrücksendungen",FBA退货服务费
Transfer,提现金额
Transferir,提现金额
Transfert,提现金额
Transférer,提现金额
Trasferimento,提现金额
Verbindlichkeit/amzn1.cam.v1.sgid,预提费用
Versand durch Amazon Lagergebühr/Capacity Reservation Fee,FBA仓储超量费
Versand durch Amazon Lagergebühr/FBA-Lagergebühr,FBA仓储费
Versand durch Amazon Lagergebühr/Versand durch Amazon Gebühr für Entsorgung,FBA弃置费
Versand durch Amazon Lagergebühr/Versand durch Amazon Gebühr für Rücksendung,亚马逊额外退货处理费
Versand durch Amazon Lagergebühr/Versand durch Amazon Langzeitlagergebühr,FBA长期仓储费
Zamówienie,商品销售收入
Zwrot kosztów,商品销售收入-退货
order,商品销售收入
Återbetalning,商品销售收入-退货
Överföring,提现金额
Übertrag,提现金额
促销,优惠活动服务费
其他交易服务费,其他交易服务费
匹配成本及头程用/匹配成本及头程用,商品采购成本
振込み,提现金额
注文,商品销售收入
注文外料金/クーポン償還手数料,优惠活动服务费
注文外料金/広告費用,广告费
注文外料金/月額登録料,店铺月租
調整/FBA在庫の返金 - 紛失: フルフィルメントセンター,FBA库存赔偿-仓库遗失
調整/FBA在庫の返金 - 紛失: フルフィルメントセンター:,FBA库存赔偿-仓库遗失
調整/FBA在庫の返金 - 紛失: 出荷時:,FBA库存赔偿-出运丢失
調整/FBA在庫の返金 - 購入者による返品:,FBA库存赔偿-客户退货
調整/購入者の再課金：,客户货款追回
返金,商品销售收入-退货
